ï»¿PROJECT_NUMBER,PROJECT_EN,DEVELOPER_NUMBER,DEVELOPER_EN,START_DATE,END_DATE,ADOPTION_DATE,PRJ_TYPE_EN,PROJECT_VALUE,ESCROW_ACCOUNT_NUMBER,PROJECT_STATUS,PERCENT_COMPLETED,INSPECTION_DATE,COMPLETION_DATE,DESCRIPTION_EN,AREA_EN,ZONE_EN,CNT_LAND,CNT_BUILDING,CNT_VILLA,CNT_UNIT,MASTER_PROJECT_EN
3364,Lexington,1162,NSHAMA PROPERTIES OWNED BY NSHMI DEVELOPMENT ONE PERSON COMPANY L.L.C,2025-05-05 00:00:00,2027-09-30 00:00:00,2024-11-18 10:25:28,Normal,106438547,4031224702173074,ACTIVE,0,2024-10-25 16:46:55,,Residential Apartment Building G+2P+9 + parking in Ground & Podiums levels .,Al Yelayiss 2,Dubai Development Authority (DDA),0,0.0,0.0,142.0,
3365,The Baltimore,1162,NSHAMA PROPERTIES OWNED BY NSHMI DEVELOPMENT ONE PERSON COMPANY L.L.C,2025-05-18 00:00:00,2027-09-30 00:00:00,2024-12-05 09:33:11,Normal,115113563,4031224702173077,ACTIVE,0,2024-10-25 17:06:34,,Residential Apartment G+P+15+R+Parking in Ground Floor & Podium Floor .,Al Yelayiss 2,Dubai Development Authority (DDA),0,0.0,0.0,167.0,
3366,ONE PARK SQUARE BY IMAN,1178,IMAN DEVELOPERS L.L.C,2025-01-01 00:00:00,2028-06-30 00:00:00,2025-01-22 11:40:24,Normal,115000000,001582150263601,ACTIVE,0,2024-11-06 15:15:58,,"PROPOSED RESIDENTIAL (G+5P+24) + RETAIL @ GROUND,The project designed to have a concrete structure and block with internal and external finishes.",Al Barsha South Fourth,Trakhees,0,0.0,0.0,269.0,
3370,The First Collection at Dubai Studio City,2084,TFG S C DEVELOPMENT L.L.C,2025-02-01 00:00:00,2028-01-31 00:00:00,2025-02-20 12:52:01,Normal,169123000,3001747402000,ACTIVE,2.06,2025-06-23 11:11:46,,"B+G+8+R, The project designed to have a concrete structure and block with internal and external finishes.",Al Hebiah Second,Dubai Development Authority (DDA),0,0.0,0.0,379.0,
3371,SquareX One,1739,TASMEER INDIGO REAL ESTATE DEVELOPMENT L.L.C,2025-04-01 00:00:00,2027-04-01 00:00:00,,Normal,62000000,,PENDING,0,2024-11-09 16:48:47,,B+G+3P+16,Al Barsha South Fourth,,0,0.0,0.0,207.0,
3372,DAMAC RIVERSIDE VIEWS - MARINE 1 ,1866,DAMAC MRY INVESTMENT L.L.C,2025-01-29 00:00:00,2028-05-31 00:00:00,2024-11-19 08:48:47,Normal,71538230,4031226083895008,ACTIVE,0.28,2025-05-01 10:57:36,,"Project consists of 2B+G+6+R residential building located in Dubai Investment Park second, Dubai. The building is designed to have a concrete structure and block with internal and external finishes.",Dubai Investment Park Second,Dubai Municipality,0,0.0,0.0,526.0,
3373,DAMAC RIVERSIDE VIEWS - MARINE 2,1866,DAMAC MRY INVESTMENT L.L.C,2025-01-29 00:00:00,2028-05-31 00:00:00,2024-11-19 08:52:39,Normal,71538230,4031226083895011,ACTIVE,0.24,2025-05-01 10:59:39,,"Project consists of 2B+G+6+R residential building located in Dubai Investment Park second, Dubai. The building is designed to have a concrete structure and block with internal and external finishes.",Dubai Investment Park Second,Dubai Municipality,0,0.0,0.0,526.0,
3374,DAMAC RIVERSIDE VIEWS - MARINE 3,1866,DAMAC MRY INVESTMENT L.L.C,2025-01-29 00:00:00,2028-05-31 00:00:00,2024-11-20 09:36:29,Normal,69872880,4031226083895014,ACTIVE,0.24,2025-05-01 11:01:12,,"Project consists of 2B+G+6+R residential building located in Dubai Investment Park second, Dubai. The building is designed to have a concrete structure and block with internal and external finishes.",Dubai Investment Park Second,Dubai Municipality,0,0.0,0.0,307.0,
3375, DAMAC RIVERSIDE VIEWS - MARINE 4,1866,DAMAC MRY INVESTMENT L.L.C,2025-01-29 00:00:00,2028-05-31 00:00:00,2024-11-22 09:19:52,Normal,69996950,4031226083895017,ACTIVE,0.24,2025-05-01 11:03:07,,"Project consists of 2B+G+6+R residential building located in Dubai Investment Park second, Dubai. The building is designed to have a concrete structure and block with internal and external finishes.",Dubai Investment Park Second,Dubai Municipality,0,0.0,0.0,304.0,
3377,Beachfront Gates 1,1142,DUBAI SOUTH PROPERTIES DWC LLC,2025-02-28 00:00:00,2026-12-30 00:00:00,2025-02-03 14:43:19,Normal,78434751,10613405920005,ACTIVE,0,2024-11-06 09:29:22,,The land use of the project is G+6+roof floors commercial & residential apartments and Townhouses,Madinat Al Mataar,Dubai South,0,0.0,0.0,74.0,
3379,Beachfront Gates 2,1142,DUBAI SOUTH PROPERTIES DWC LLC,2025-02-28 00:00:00,2026-12-30 00:00:00,2025-02-03 14:49:34,Normal,132300981,10613405920008,ACTIVE,0,2024-11-06 09:39:24,,The land use of the project is G+6+roof floors commercial & residential apartments.,Madinat Al Mataar,Dubai South,0,0.0,0.0,162.0,
3380,VIVID TOWER,1894,OBJ1 REAL ESTATE DEVELOPMENT L.L.C,2025-01-20 00:00:00,2026-11-30 00:00:00,2025-03-06 13:48:25,Normal,38000000,19390528,ACTIVE,0,2024-12-04 12:25:16,,UG Watertank+G+4P+16+R RESIDENTIAL BLDG. The project designed to have a concrete structure and block with internal and external finishes.,Al Barsha South Fifth,Trakhees,0,0.0,0.0,147.0,
3381,Terra Heights,1237,DWTC EMAAR L.L.C,2025-04-10 00:00:00,2029-03-31 00:00:00,2024-11-14 12:58:04,Normal,864212840,001582136161501,ACTIVE,1.06,2025-08-29 16:45:05,,"The projects is composed of G + 13 Res Floors + Roof on Top having a total of 1004 residential units.

",Madinat Al Mataar,Dubai Municipality,0,0.0,0.0,1004.0,
3383,Peace Lagoons II by Peace Homes,1745,PEACE HOMES DEVELOPMENT L.L.C,2025-01-01 00:00:00,2029-01-01 00:00:00,2025-03-27 15:59:07,Normal,167000000,01434279203,ACTIVE,,,,"4B+G+17 Residential Building,The project designed to have a concrete structure and block with internal and external finishes.",Wadi Al Safa 5,Dubai Development Authority (DDA),0,0.0,0.0,831.0,
3385,Golf Edge,1155,EMAAR DUBAI SOUTH DWC LLC,2025-04-23 00:00:00,2029-02-28 00:00:00,2024-11-14 11:42:50,Normal,161289901,019000086211,ACTIVE,0,2024-11-04 11:24:42,,"G+P+12 Floors Residential Building 

",Madinat Al Mataar,Dubai South,0,0.0,0.0,179.0,
3386,Marina Place 1,1275,MINA RASHID PROPERTIES L.L.C,2025-04-24 00:00:00,2028-12-31 00:00:00,2024-11-15 11:49:34,Normal,152195425,0205838083713,ACTIVE,0,2024-11-04 12:58:10,,"Residential Development consisting of 1 Building (G+P+12 Floors) with 162 Residential Units
",Madinat Dubai Almelaheyah,Trakhees,0,0.0,0.0,162.0,
3387,Marina Place 2,1275,MINA RASHID PROPERTIES L.L.C,2025-04-24 00:00:00,2028-12-31 00:00:00,2024-11-15 11:51:12,Normal,172009796,3538454005410,ACTIVE,0,2024-11-04 13:13:47,,"Residential Development consisting of 1 Building  (G+P+12 Floors) with 179 Residential Units and 1 Retail Unit
",Madinat Dubai Almelaheyah,Trakhees,0,0.0,0.0,180.0,
3388,DAMAC ISLANDS - MALDIVES 1,2035,DAMAC ELITE INVESTMENT CO. L.L.C,2025-03-23 00:00:00,2028-12-31 00:00:00,2025-01-09 14:09:08,Normal,222658450,0205892602923,ACTIVE,0.36,2025-06-04 11:21:23,,"Project consists of 397 Nos of B+G+2, G+2 and G+1 Townhouses and Villas located in Al Yalayis 1, Dubai. The units are designed to have a concrete structure and block with internal and external finishes.",Al Yelayiss 1,Dubai Development Authority (DDA),0,0.0,397.0,0.0,
3389,Mirdif Hills - Asayel Avenue,278,DUBAI INVESTMENT REAL ESTATE (L L C),2025-05-05 00:00:00,2027-05-05 00:00:00,2025-04-22 11:13:13,Normal,150000000,490555920029,ACTIVE,0,2024-11-06 10:52:43,,"Basement Parking Floor and Ground floor Residential and Amenities and 4 typical residential floors and roof services and residential floor,The project designed to have a concrete structure and block with internal and external finishes.",Mirdif,Dubai Municipality,0,0.0,0.0,193.0,
3392,VELOR,1485,GINCO PROPERTIES L.L.C,2025-05-01 00:00:00,2027-11-01 00:00:00,2025-04-21 13:43:58,Normal,105000000,3718441443613,ACTIVE,0,2025-02-04 11:20:28,,"VELOR (2B + G + 3P + 28 + Service Floor + R)
Residential & Commercial Building in Business Bay, Dubai UAE",Business Bay,Dubai Development Authority (DDA),0,0.0,0.0,52.0,
3394,COTIER HOUSE 1 BY IMTIAZ,1641,IMTIAZ GHD REAL ESTATE DEVELOPMENT L.L.C,2025-01-15 00:00:00,2027-01-15 00:00:00,2025-02-13 11:35:49,Normal,71058505,1011225996258008,ACTIVE,8.05,2025-09-01 09:04:42,,G+2P+10+R RESIDENTIAL BUILDING,Palm Deira,Trakhees,0,0.0,0.0,137.0,
3395,Palm Jebel Ali - Frond D,104,THE PALM - JEBEL ALI CO. (L.L.C),2025-01-14 00:00:00,2028-01-17 00:00:00,2024-11-20 18:05:54,Normal,672867287,29176678,ACTIVE,0.49,2025-07-28 16:42:46,,"Residential project consists of 116 G + 2 villas, including 53 Nos 5-Bedroom and 63 Nos 6-Bedroom.",Palm Jabal Ali,Trakhees,0,0.0,116.0,0.0,
3396,Peninsula Dubai Residences - Tower 1,1499,DUBAI PENINSULA L.L.C,2025-03-03 00:00:00,2029-01-08 00:00:00,2024-12-31 16:36:59,Normal,700000000,0205821503202,ACTIVE,0.15,2025-06-30 12:15:44,,"Tower A (B1+G+P1+L1-L20+R) 32 unit +1 Penthouse    and Tower B (B1+G+P1+L1-L28+R) 44 Units +1 Penthouse 
 .The project designed to have a concrete structure and block with internal and external finishes.",Jumeirah Second,Dubai Municipality,0,0.0,0.0,77.0,
3397,Binghatti Twilight,1051,Binghatti Developers FZE,2025-04-01 00:00:00,2026-04-30 00:00:00,2025-06-11 12:16:42,Normal,197000000,0011370621104,ACTIVE,0,2024-11-11 13:22:16,,4B + G + 3P + 1 OFFICES&AMENITY + 3 OFFICES + 21 RES. +1MECH. + ROOF,Al Jadaf,Dubai Development Authority (DDA),0,0.0,0.0,277.0,
3400, 999 Residences by Reef Luxury Development,1944,REEF LUXURY DEVELOPMENT L.L.C,2025-04-01 00:00:00,2027-06-30 00:00:00,2025-01-07 00:00:00,Normal,22000000,1091226141046007,ACTIVE,0,2025-03-19 13:00:30,,"G+P+12+R Commercial and Residential Building
Consist of 1 Bedroom + Balcony =108 rooms, 2 Bedroom + Balcony =20 rooms, 3 Bedroom + Balcony =4 rooms and 4 Bedroom + Balcony = 10 rooms. Total of 142 rooms.
",Jabal Ali First,Trakhees,0,0.0,0.0,148.0,
3403,INTERSTELLAR TOWER,1742,BOUJEE REAL ESTATE DEVELOPMENT L.L.C,2025-06-01 00:00:00,2028-07-01 00:00:00,,Normal,130693435,,PENDING,0,2024-11-13 12:43:54,,Residential Building (B+G+4P+18+R) with Retail@ GF +Swimming Pool with entertainment @First Floor,Al Barsha South Fifth,,0,0.0,0.0,187.0,
3405,The Valley - Kaia,1211,EMAAR DEVELOPMENT P.J.S.C.,2025-02-28 00:00:00,2028-07-31 00:00:00,2024-11-19 14:13:36,Normal,166917275,10653441920051,ACTIVE,0.27,2025-05-08 10:10:35,,"Residential development consisting of 156 villas (G+1).The project designed to have a concrete structure and block with internal and external finishes.
",Al Yufrah 1,Dubai Development Authority (DDA),0,0.0,156.0,0.0,
3406,The Valley - Elea,1211,EMAAR DEVELOPMENT P.J.S.C.,2025-02-28 00:00:00,2028-06-30 00:00:00,2024-11-19 15:07:16,Normal,141797656,0205345068531,ACTIVE,3.04,2025-09-12 17:14:14,,"Residential development consisting of 128 villas (G+1)
",Al Yufrah 1,Dubai Development Authority (DDA),0,0.0,128.0,0.0,
3408,SERENIA DISTRICT - WEST,1068,PALMA HOMES REAL ESTATE DEVELOPMENT L.L.C,2025-01-02 00:00:00,2028-12-31 00:00:00,2025-02-20 10:40:54,Normal,634668000,0012004307008,ACTIVE,0,2025-02-04 12:36:42,,Mixed Used - Residential with Retail (B+G+3P+43F+R) + Swimming Pools @ 1st Floor + Gym with SPA @ 1st & 2nd Podiums,Al Thanyah Fifth,Trakhees,0,0.0,0.0,423.0,
3410,Esme' Beach Residences,1854,ELYSIAN LUXURY REAL ESTATE DEVELOPMENT L.L.C,2025-01-01 00:00:00,2027-04-01 00:00:00,2025-01-13 13:20:15,Normal,62000000,13462896920002,ACTIVE,0,2024-11-20 18:02:44,,"RESIDENTIAL BUILDING  GROUND , 2 Podium Plus 12 ,Units .The project designed to have a concrete structure and block with internal and external finishes.",Palm Deira,Trakhees,0,0.0,0.0,109.0,
3411,Hillsedge,984,DUBAI HILLS ESTATE L.L.C,2025-05-02 00:00:00,2029-01-31 00:00:00,2024-11-29 11:30:58,Normal,358792000,4031223791259009,ACTIVE,2.48,2025-05-15 10:51:28,,"Basement + Ground Floor + Podium + 2 Residential Buildings + 10 Apartment G + 1
Building 01: B + G + P + 19 floors (198 Residential Units)
Building 02: B + G + P + 18 floors (198 Residential Units)
Apartments: G + 1 (10 Residential Units)
",Hadaeq Sheikh Mohammed Bin Rashid,Dubai Development Authority (DDA),0,0.0,0.0,406.0,
3412,La Cle by Maaia Developers,1971,MAAIA PRIME REAL ESTATE DEVELOPERS L.L.C,2025-01-15 00:00:00,2027-01-14 00:00:00,2025-01-23 16:31:08,Normal,36000000,19361812,ACTIVE,0,2024-12-11 10:59:17,,GR+2P+7+ROOF.The project designed to have a concrete structure and block with internal and external finishes.,Jabal Ali First,Trakhees,0,0.0,0.0,58.0,
3414,VEGA,1403,ACUBE REAL ESTATE DEVELOPMENT L L C,2025-01-15 00:00:00,2027-05-15 00:00:00,2024-12-17 14:42:07,Normal,52000000,0205806681610,ACTIVE,2.83,2025-06-20 14:56:14,,Residential Project in Dubai Sports City. The project designed to have a concrete structure and block with internal and external finishes.,Al Hebiah Fourth,Dubai Development Authority (DDA),0,0.0,0.0,129.0,
3415,Bay Grove Residences C - Dubai Islands,105,DUBAI ISLANDS L.L.C,2025-02-15 00:00:00,2028-04-10 00:00:00,2024-12-13 16:55:49,Normal,446396858,29192373,ACTIVE,0.02,2025-08-22 18:27:41,,"The Project is a luxurious Residences located at Dubai Islands. The Project Introduces one combined Basement, one combined Ground + 4 buildings : 
BG 9 = B+G+9+R (67 units)
BG 10 = B+G+11+R (69 units)
BG 11 = B+G+20+R (118 units)
BG 12 = B+G+18+R (106 units).
The Residences consist of a total of 360 Apartments with unit mix of 1-Bedroom, 2-Bedrooms, 3-Bedrooms, and 4-Bedroom (Simplex & Duplex Apartments).",Palm Deira,Trakhees,0,0.0,0.0,360.0,
3419,The Hub Residences by ZaZEN,1311,ZAZEN PROPERTY DEVELOPMENT L.L.C,2025-03-15 00:00:00,2027-01-15 00:00:00,2024-12-30 14:06:27,Normal,80000000,1011222041216010.0,ACTIVE,2.96,2025-07-31 16:53:39,,UG+G+1P+10TYP+ Roof Residential Building.The project designed to have a concrete structure and block with internal and external finishes.,Jabal Ali First,Trakhees,0.0,0.0,0.0,105.0,
3421,Bond Enclave,1848,PEARLSHIRE REAL ESTATE DEVELOPMENT L.L.C,2025-06-01 00:00:00,2027-11-30 00:00:00,2025-01-11 18:52:22,Normal,68325525,13989359820003.0,ACTIVE,2.86,2025-08-22 15:24:53,,Basement + Ground + 8 Residencial Floors + Roof.The project designed to have a concrete structure and block with internal and external finishes.,Al Barshaa South Third,Dubai Development Authority (DDA),0.0,0.0,0.0,156.0,
3422,Samana Barari Lagoons,1598,SAMANA SIGNATURE REAL ESTATE DEVELOPMENTS L.L.C,2025-04-01 00:00:00,2028-03-31 00:00:00,2024-12-16 13:42:13,Normal,188000000,12223251585.0,ACTIVE,4.03,2025-06-17 16:57:49,,"3B+G+2RETAIL+2P+30+1Mech+Roof.The project designed to have a concrete structure and block with internal and external finishes.
",Wadi Al Safa 3,Dubai Development Authority (DDA),0.0,0.0,0.0,601.0,
3425,Orise,1875,ORISE RESIDENCES REAL ESTATE DEVELOPMENT L.L.C,2025-02-28 00:00:00,2027-11-30 00:00:00,2024-12-04 00:00:00,Normal,490000000,205902663702.0,ACTIVE,1.02,2025-07-15 12:28:43,,Residential Building (Common B+G+3P) + Tower 1 (48 Floors + Roof) + Tower 2(28 Floors +Roof).,Madinat Dubai Almelaheyah,Trakhees,0.0,0.0,0.0,534.0,
3426,Golf Acres,1155,EMAAR DUBAI SOUTH DWC LLC,2025-05-23 00:00:00,2028-12-31 00:00:00,2024-12-11 10:39:35,Normal,145199986,11134281920031.0,ACTIVE,0.0,2024-11-22 11:04:29,,"G+P+ 16 Floors Residential Building + 10 Townhouses G+1
",Madinat Al Mataar,Dubai South,0.0,0.0,0.0,158.0,
3427,Golf Dale,1155,EMAAR DUBAI SOUTH DWC LLC,2025-05-23 00:00:00,2028-12-31 00:00:00,2024-12-11 10:41:47,Normal,186585142,11134281920033.0,ACTIVE,0.0,2024-11-25 12:28:58,,"Residential G+P+13 Floors & G+P+10 Floors + 5 Townhouses G+1
",Madinat Al Mataar,Dubai South,0.0,0.0,0.0,200.0,
3428,THE BOULEVARD BY PRESTIGE ONE ,2083,PRESTIGE THE BOULEVARD REAL ESTATE DEVELOPMENT L.L.C,2025-07-01 00:00:00,2027-11-30 00:00:00,2025-01-31 15:59:47,Normal,40000000,405907199405.0,ACTIVE,0.0,2024-11-25 18:37:25,,3B+G+1P+16+R.The project designed to have a concrete structure and block with internal and external finishes.,Wadi Al Safa 5,Dubai Development Authority (DDA),0.0,0.0,0.0,387.0,
3429,GOLF TERRACES,2098,ARGO REAL ESTATE DEVELOPMENT L.L.C,2025-06-01 00:00:00,2026-12-31 00:00:00,,Normal,50000000,,PENDING,,,,G+7+R,Me'Aisem First,,0.0,0.0,0.0,60.0,
3430,The Valley - Farm Grove,1211,EMAAR DEVELOPMENT P.J.S.C.,2025-02-28 00:00:00,2028-12-31 00:00:00,2024-12-04 14:40:40,Normal,852220355,4031221997653047.0,ACTIVE,1.43,2025-09-12 17:09:15,,"Residential development consisting of 482 villas (G+2)

",Al Yufrah 1,Dubai Development Authority (DDA),0.0,0.0,482.0,0.0,
3431,The Valley - Farm Grove 2,1211,EMAAR DEVELOPMENT P.J.S.C.,2025-02-28 00:00:00,2028-10-31 00:00:00,2024-12-04 14:43:39,Normal,521547974,205345068533.0,ACTIVE,1.44,2025-09-12 17:30:36,,"Residential development consisting of 290 villas (G+2)

",Al Yufrah 1,Dubai Development Authority (DDA),0.0,0.0,290.0,0.0,
3434,Orvessa Residences by Michel Adam,1855,BNW ECHJAY REAL ESTATE DEVELOPMENT L.L.C,2025-06-30 00:00:00,2028-06-30 00:00:00,,Normal,73969350,13690847920003.0,PENDING,0.0,2024-12-26 08:12:18,,Residential Building (B+G+2P+14),Jabal Ali First,,0.0,0.0,0.0,92.0,
3435,Skyvue,966,SOBHA L.L.C,2025-04-01 00:00:00,2030-03-31 00:00:00,2025-02-25 09:10:36,Normal,1511689950,1582161999001.0,ACTIVE,0.0,2025-01-14 09:31:16,,"Proposed Ground + 6 Podiums + 74 Floors +Roof ,Commercial (Retail) and Residential Development",Bukadra,Dubai Municipality,0.0,0.0,0.0,1864.0,
3437,DAMAC ISLANDS - MALDIVES 2,2035,DAMAC ELITE INVESTMENT CO. L.L.C,2025-03-23 00:00:00,2028-12-31 00:00:00,2025-01-09 00:00:00,Normal,200390169,205892602921.0,ACTIVE,0.36,2025-06-04 11:23:13,,"Project consists of 380 Nos of B+G+2, G+2 and G+1 Townhouses and Villas located in Al Yalayis 1, Dubai. The units are designed to have a concrete structure and block with internal and external finishes.",Al Yelayiss 1,Dubai Development Authority (DDA),1.0,0.0,379.0,0.0,
3438,DAMAC ISLANDS - MALDIVES 3,2035,DAMAC ELITE INVESTMENT CO. L.L.C,2025-03-23 00:00:00,2028-12-31 00:00:00,2025-01-09 13:01:43,Normal,191214583,205892602919.0,ACTIVE,0.05,2025-06-04 11:24:36,,"Project consists of 313 Nos of B+G+2, G+2 and G+1 Townhouses and Villas located in Al Yalayis 1, Dubai. The units are designed to have a concrete structure and block with internal and external finishes.",Al Yelayiss 1,Dubai Development Authority (DDA),0.0,0.0,313.0,0.0,
3439,THE BRISTOL Emaar Beachfront,1211,EMAAR DEVELOPMENT P.J.S.C.,2025-05-08 00:00:00,2029-09-30 00:00:00,2024-12-10 11:02:07,Normal,468464202,10653441920053.0,ACTIVE,0.06,2025-07-01 16:38:36,,"The project is composed of 1B+G+8P+11 Hotel Floors + 33 Res Floors + Roof on Top having a total of 150 Hotel keys
227 Residential Apartments and Retail unit
",Marsa Dubai,Dubai Development Authority (DDA),0.0,0.0,0.0,229.0,
3441,One By Preston,2004,PRESTON PROPERTIES L.L.C,2025-06-05 00:00:00,2027-05-05 00:00:00,,Normal,25584530,,PENDING,0.0,2024-11-28 19:37:47,,"Residential Building (G+4+Roof)
",Madinat Al Mataar,,0.0,0.0,0.0,56.0,
3443,Luminar Tower 3,1894,OBJ1 REAL ESTATE DEVELOPMENT L.L.C,2025-01-22 00:00:00,2027-03-30 00:00:00,2024-12-17 12:05:15,Normal,40000000,19344367.0,ACTIVE,2.02,2025-05-28 19:56:46,,B+G+5P+20+R Residential Building with Retail at Ground Floor. The project designed to have a concrete structure and block with internal and external finishes.,Al Barsha South Fifth,Trakhees,0.0,0.0,0.0,188.0,
3444,THE WATERCREST BY ELLINGTON ,1117,ELLINGTON PROPERTIES DEVELOPMENT L.L.C,2025-01-31 00:00:00,2028-03-31 00:00:00,2025-03-11 12:06:10,Normal,233470000,1009766179.0,ACTIVE,0.0,2025-01-17 16:11:06,,"84 Villa Ground, First, Roof and Services.",Wadi Al Safa 3,Dubai Municipality,0.0,0.0,84.0,0.0,
3445,Jumeirah Asora Bay,1510,DHRE 2 BTS L.L.C,2025-05-01 00:00:00,2029-03-31 00:00:00,2025-02-11 13:01:46,Normal,949000000,10497411920041.0,ACTIVE,0.0,2024-12-04 17:13:26,,"The project consists of two buildings as follows:

Building 1 : Jumeirah Asora Bay Hotel.      (G+7 with 103 Rooms) including Hotel Villas Ground Floor (20 Units)

Building 2 : Jumeirah Residences Asora Bay Residential Building (G+11 with 29 no. units) + Residents Lounge, Gym & Spa
",Jumeirah First,Dubai Development Authority (DDA),0.0,0.0,0.0,30.0,
3446,Nad Al Sheba Gardens Phase 7,1762,NAS ESTATES L.L.C,2025-01-28 00:00:00,2028-02-15 00:00:00,2024-12-11 09:41:17,Normal,690000000,205865423608.0,ACTIVE,0.09,2025-08-22 17:09:17,,"Residential project with Total number of 260 Townhouses & Villas (G+1 & G+2) as follows:
	24 (6-Plex) Townhouse 3-Bedroom (G+1)
	40 (4-Plex) Townhouse 3-Bedroom (G+2)
	78 (6-Plex) Townhouse 3-Bedroom (G+2)
	28 of 4-Bedroom Villa (G+2)
	57 of 5-Bedroom Villa (G+2)
	23 of 6-Bedroom Villa (G+2)
	10 of 7-Bedroom Villa (G+2)

",Nad Al Shiba First,Dubai Development Authority (DDA),0.0,0.0,260.0,0.0,
3447,Rena,1511,AVENEW REAL ESTATE DEVELOPMENT L.L.C,2025-05-15 00:00:00,2027-05-15 00:00:00,2024-12-12 00:00:00,Normal,85000000,1582143154201.0,ACTIVE,3.79,2025-08-21 14:26:30,,"1B+G+7+R+UR
",Palm Deira,Trakhees,0.0,0.0,0.0,64.0,
3449,Vivanti Residences by Meteora,1841,METEORA ELITE REAL ESTATE DEVELOPMENTS L.L.C,2025-01-01 00:00:00,2028-01-01 00:00:00,2025-07-01 13:20:53,Normal,90000000,13407614920004.0,ACTIVE,0.02,2025-01-23 08:50:09,,Residential / Commercial Building (B +G+3P+11 Typical + R & B +G+3P +17 Typical + R & B +G+3P+11 Typical + R),Al Barsha South Fourth,Trakhees,0.0,0.0,0.0,476.0,
3450,Odessa,1162,NSHAMA PROPERTIES OWNED BY NSHMI DEVELOPMENT ONE PERSON COMPANY L.L.C,2025-08-25 00:00:00,2027-12-30 00:00:00,2025-03-06 10:28:51,Normal,136243587,4031224702173086.0,ACTIVE,0.0,2025-01-15 12:09:50,,"Residential Apartment Building G+2P+13 + roof +parking in Ground & Podiums floors
",Al Yelayiss 2,Dubai Development Authority (DDA),0.0,0.0,0.0,178.0,
3451,Ellison ,1162,NSHAMA PROPERTIES OWNED BY NSHMI DEVELOPMENT ONE PERSON COMPANY L.L.C,2025-07-14 00:00:00,2027-11-30 00:00:00,2025-01-30 09:49:44,Normal,107371545,4031224702173080.0,ACTIVE,0.0,2025-01-15 12:11:36,,"Residential Apartment Building G+2P+9+Parking in Ground Floor & Podium levels
",Al Yelayiss 2,Dubai Development Authority (DDA),0.0,0.0,0.0,148.0,
3454,Alma Gardens,1818,ALMA REAL ESTATE DEVELOPMENTS L.L.C,2025-01-15 00:00:00,2026-05-15 00:00:00,2025-01-24 15:43:05,Normal,41000000,1009792118.0,ACTIVE,10.81,2025-06-25 12:30:05,,"This project is a boutique residential building located in the Liwan area, a prime and emerging community in Dubai. The project features a ground floor (G), podium level (P), 9 residential floors (G+P+9), and a rooftop (R). It is designed to cater to modern urban living while maintaining a focus on comfort, aesthetics, and functionality.",Wadi Al Safa 2,Dubai Development Authority (DDA),0.0,0.0,0.0,77.0,
3455,La Tilia at Villanova Phase 1,1039,NORTH DUBAILAND PROJECTS L.L.C,2025-01-21 00:00:00,2028-08-21 00:00:00,2024-12-23 15:02:44,Normal,379000000,4031226200204002.0,ACTIVE,0.81,2025-08-22 18:42:22,,"Residential project consists of 410 (G+1, G+2) 3 & 4 Bedroom Townhouse units including 24 frozen units (386 units excl. frozen units)
 as following:
3 bed G+1: 202 units (including 14 frozen units) 
4 bed G+1: 102 units (including 10 frozen units)
3 bed G+2: 32 units
4 bed G+2 : 74 units  
",Wadi Al Safa 5,Dubai Development Authority (DDA),0.0,0.0,386.0,0.0,
3456,La Tilia at Villanova Phase 2,1039,NORTH DUBAILAND PROJECTS L.L.C,2025-01-21 00:00:00,2028-08-21 00:00:00,2024-12-23 15:04:27,Normal,405000000,4031226200204003.0,ACTIVE,0.64,2025-08-22 18:43:38,,"Residential project consists of 440 (G+1, G+2) 3 & 4 Bedroom Townhouse units including 42 frozen units (398 units excl. frozen units)
as follows:
?	3 bed G+1: 232 units (including 26 frozen units) 
?	4 bed G+1: 104 units (including 14 frozen units)
?	3 bed G+2: 34 units
?	4 bed G+2: 70 units (including 2 frozen units)
",Wadi Al Safa 5,Dubai Development Authority (DDA),0.0,0.0,398.0,0.0,
3457,Woodland Terraces,1753,A M I S REAL ESTATE DEVELOPMENT L.L.C,2025-02-03 00:00:00,2027-03-30 00:00:00,2025-01-29 09:26:57,Normal,33890000,13253198920004.0,ACTIVE,0.0,2024-12-25 17:30:26,,2B+G+5+Roof,Wadi Al Safa 3,Dubai Municipality,0.0,0.0,0.0,76.0,
3459,Rome 3 by SD ,1688,SAMANA STAR REAL ESTATE DEVELOPMENT L.L.C,2025-07-01 00:00:00,2028-06-30 00:00:00,,Normal,45960201,,PENDING,0.0,2025-08-21 10:30:59,,B+G+6+R,Wadi Al Safa 3,,0.0,0.0,0.0,85.0,
3461,Aman Residences Dubai,2163,BLACKWOOD DEVELOPMENT L.L.C,2025-07-12 00:00:00,2028-12-31 00:00:00,2025-01-21 11:36:58,Normal,1600000000,205908368504.0,ACTIVE,,,,"Tower 1 :   B+G+P+30+R   ( 38 Units + 1 Penthouse ) 
Tower 2 : B+G+P+26+R ( 30 Units + 1 Penthouse ) 
4 Villas ( G+3 )
",Jumeirah Second,Dubai Municipality,0.0,0.0,0.0,74.0,
