DEVELOPER_NUMBER,DEVELOPER_EN,REGISTRATION_DATE,LICENSE_SOURCE_EN,LICENSE_TYPE_EN,LEGAL_STATUS_EN,WEBPAGE,PHONE,FAX,LICENSE_NUMBER,LICENSE_ISSUE_DATE,LICENSE_EXPIRY_DATE,CHAMBER_OF_COMMERCE_NO
"2221","EBONY DEVELOPMENT L.L.C","2025-01-30 10:47:29","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1440802","2024-11-26 00:00:00","2025-11-25 00:00:00",""
"2222","ZEDOR REAL ESTATE DEVELOPMENT L.L.C","2025-02-03 07:00:36","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1434042","2024-11-09 00:00:00","2025-11-08 00:00:00",""
"2223","KAYA PROPERTIES L.L.C","2025-02-03 07:03:23","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","00","00","1227599","2023-09-01 00:00:00","2025-08-31 00:00:00",""
"2224","G F S REAL ESTATE DEVELOPMENT L.L.C","2025-02-03 10:32:55","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1460995","2025-01-15 00:00:00","2026-01-14 00:00:00",""
"2225","HAYAAT IKHLAQ DEVELOPMENTS L.L.C","2025-02-03 12:27:08","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1442967","2024-11-26 00:00:00","2025-11-25 00:00:00",""
"2226","M A V REAL ESTATE DEVELOPMENT L.L.C","2025-02-04 07:13:26","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1468219","2025-02-03 00:00:00","2026-02-02 00:00:00",""
"2227","DOLCE CASA REALTY L.L.C","2025-02-04 09:17:34","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1459284","2025-01-16 00:00:00","2026-01-15 00:00:00",""
"2228","TURAN REAL ESTATE DEVELOPMENT L.L.C","2025-02-04 11:21:06","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","971-4-6886340","971-4-6886340","1100743","2022-09-27 00:00:00","2025-09-26 00:00:00",""
"2229","ELEMENTAL DEVELOPMENTS L.L.C","2025-02-05 09:43:21","DUBAI ECONOMIC DEPARTMENT","","","","","","1435393","2024-11-07 00:00:00","2025-11-06 00:00:00",""
"2230","LUNE REAL ESTATE DEVELOPMENT L.L.C","2025-02-05 11:21:09","DUBAI ECONOMIC DEPARTMENT","","","","","","1303247","2024-02-02 00:00:00","2026-02-01 00:00:00",""
"2231","ASICO DEVELOPMENT L.L.C","2025-02-05 12:19:08","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","0","1468620","2025-02-04 00:00:00","2026-02-03 00:00:00",""
"2232","THE UNITED PROPERTIES DEVELOPMENT OWNED BY EHSAN ABDULSAMAD ALQURSHI ONE PERSON COMPANY L.L.C","2025-02-05 13:37:11","DUBAI ECONOMIC DEPARTMENT","BUSINESS","","","040000000","0444444444","758975","2016-05-19 00:00:00","2024-05-18 00:00:00",""
"2233","CDS REAL ESTATE DEVELOPMENT L.L.C","2025-02-06 08:41:40","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1467110","2025-02-03 00:00:00","2026-02-02 00:00:00",""
"2234","CENTURION STAR DEVELOPERS L.L.C","2025-02-06 10:49:18","DUBAI ECONOMIC DEPARTMENT","","","","971|523711104","","1463975","2025-02-04 00:00:00","2026-02-03 00:00:00",""
"2235","ROSEWELL PARK REAL ESTATE DEVELOPMENT LLC","2025-02-06 10:50:14","DUBAI ECONOMIC DEPARTMENT","","","","971|529242662","","1465516","2025-02-04 00:00:00","2026-02-03 00:00:00",""
"2236","JVC HIRAT REAL ESTATE L.L.C","2025-02-07 10:01:25","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1468699","2025-02-06 00:00:00","2026-02-05 00:00:00",""
"2237","ALYAKKA DEVELOPERS L.L.C","2025-02-10 09:18:33","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1446808","2025-01-14 00:00:00","2026-01-13 00:00:00",""
"2238","CRESTLINE REAL ESTATE DEVELOPMENTS L.L.C","2025-02-10 11:56:05","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1469165","2025-02-10 00:00:00","2026-02-09 00:00:00",""
"2239","G P REAL ESTATE DEVELOPMENT L.L.C","2025-02-11 09:22:31","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","042242426","042242426","1436375","2025-02-11 00:00:00","2026-02-10 00:00:00",""
"2240","VOLANTE REAL ESTATE L.L.C","2025-02-11 11:02:06","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","971|507533680","","1468259","2025-02-10 00:00:00","2026-02-09 00:00:00",""
"2241","ROYAL MIRAGE REAL ESTATE DEVELOPMENT L.L.C","2025-02-12 11:14:44","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","971|0526233155","","1195946","2023-07-05 00:00:00","2026-07-04 00:00:00",""
"2242","H N B VISION REAL ESTATE DEVELOPMENT L.L.C","2025-02-12 11:17:53","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","971|505478540","","1465298","2025-01-31 00:00:00","2026-01-30 00:00:00",""
"2243","STALLION HOMES REAL ESTATE DEVELOPMENT L.L.C","2025-02-13 06:55:17","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1416314","2024-09-25 00:00:00","2025-09-24 00:00:00",""
"2244","NEWBURY REAL ESTATE DEVELOPMENT L.L.C","2025-02-13 10:18:10","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1409435","2024-10-01 00:00:00","2026-09-30 00:00:00",""
"2245","INNOVATIVE DEVELOPMENTS L.L.C","2025-02-14 11:08:27","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1415508","2024-09-17 00:00:00","2025-09-16 00:00:00",""
"2246","A G W REAL ESTATE DEVELOPMENT L.L.C","2025-02-17 09:41:42","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1434479","2024-11-01 00:00:00","2025-10-31 00:00:00",""
"2247","M E T PROPERTIES L.L.C","2025-02-17 11:54:53","DUBAI ECONOMIC DEPARTMENT","","","","","","1426352","2024-10-14 00:00:00","2025-10-13 00:00:00",""
"2248","SHAMMES AND YAZIN PROPERTIES DEVELOPMENT L.L.C","2025-02-17 12:19:22","DUBAI ECONOMIC DEPARTMENT","","","","","","1452770","2025-02-03 00:00:00","2026-02-02 00:00:00",""
"2249","JGE REAL ESTATE L.L.C","2025-02-17 12:21:11","TRAKHEEES-DED","","","","","","1463004","2025-01-21 00:00:00","2026-01-20 00:00:00",""
"2250","AUM 99 HOME REAL ESTATE DEVELOPMENTS L.L.C","2025-02-18 07:09:45","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1448832","2024-12-25 00:00:00","2025-12-24 00:00:00",""
"2251","COMITAS RESIDENCES REAL ESTATE DEVELOPMENT L.L.C","2025-02-18 07:12:13","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1362056","2024-05-21 00:00:00","2026-05-20 00:00:00",""
"2252","NEXT MOVE REAL ESTATE","2025-02-18 10:58:16","DUBAI ECONOMIC DEPARTMENT","","","","","","561039","2004-09-01 00:00:00","2026-08-31 00:00:00",""
"2253","PEACE HOMES REAL ESTATE (BRANCH)","2025-02-18 14:13:16","TRAKHEEES-DED","","","","045539027","045539024","1111335","2022-10-25 00:00:00","2024-10-24 00:00:00",""
"2254","BT PROPERTIES DWC LLC","2025-02-18 00:00:00","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","Limited Responsibility","www.btproperties.ae","042492750","044221972","13021","2024-09-19 00:00:00","2028-09-18 00:00:00",""
"2255","TEJER PROPERTIES L.L.C","2025-02-20 13:36:44","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1474422","2025-02-20 00:00:00","2026-02-19 00:00:00",""
"2256","FUHUI REAL ESTATE DEVELOPMENT L.L.C","2025-02-24 09:13:26","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1456108","2025-02-14 00:00:00","2026-02-13 00:00:00",""
"2257","PRESTIGE LUXE REAL ESTATE DEVELOPMENT L.L.C","2025-02-25 08:53:40","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","0000","00000","1471430","2025-02-19 00:00:00","2026-02-18 00:00:00",""
"2258","CITYLINK PROPERTIES L.L.C","2025-02-25 13:16:27","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1473771","2025-02-20 00:00:00","2026-02-19 00:00:00",""
"2259","IMTIAZ LUXURY REAL ESTATE DEVELOPMENT L.L.C","2025-02-26 08:17:02","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1468806","2025-02-25 00:00:00","2026-02-24 00:00:00",""
"2260","VALORES WBAY PROPERTY DEVELOPMENT L.L.C","2025-02-27 06:43:42","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1451146","2025-01-24 00:00:00","2026-01-23 00:00:00",""
"2261","SOUTH LIVING REAL ESTATE DEVELOPMENT L.L.C","2025-02-27 06:45:09","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1460918","2025-01-15 00:00:00","2026-01-14 00:00:00",""
"2262","SEGREX TERRA DEVELOPMENT L.L.C","2025-02-27 12:59:13","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1268378","2023-11-23 00:00:00","2025-11-22 00:00:00",""
"2263","N Y X REAL ESTATE DEVELOPMENT L.L.C","2025-02-28 00:00:00","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","Limited Responsibility","","000","000","1468647","2025-02-14 00:00:00","2026-02-13 00:00:00",""
"2264","MANAROLA REAL ESTATE DEVELOPMENTS L.L.C","2025-03-03 11:02:04","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","971|565114944","0503563828","1380682","2024-07-11 00:00:00","2026-07-10 00:00:00",""
"2265","AESTAS RESIDENCES REAL ESTATE L.L.C","2025-03-03 11:08:16","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","0503563828","0503563828","1354638","2024-05-07 00:00:00","2026-05-06 00:00:00",""
"2266","BUKADRA PROPERTIES L.L.C","2025-03-06 09:43:02","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1368915","2024-06-13 00:00:00","2027-06-12 00:00:00",""
"2267","IRTH URBAN DEVELOPMENT L.L.C","2025-03-07 07:45:00","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1463835","2025-03-06 00:00:00","2026-03-05 00:00:00",""
"2268","MD WORLD ISLANDS DEVELOPMENTS L.L.C","2025-03-09 14:32:17","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1430435","2024-10-23 00:00:00","2025-10-22 00:00:00",""
"2269","EAGLE GROVE REAL ESTATE DEVELOPMENT L.L.C","2025-03-10 07:55:55","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1479247","2025-03-07 00:00:00","2026-03-06 00:00:00",""
"2270","BITHAUS REAL ESTATE DEVELOPMENT L.L.C","2025-03-10 10:39:41","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","971|527901115","","1457513","2025-01-09 00:00:00","2026-01-08 00:00:00",""
"2271","KARMA D S C DEVELOPERS L.L.C","2025-03-11 11:57:49","DUBAI ECONOMIC DEPARTMENT","","","","040000000","040000000","1430812","2024-10-28 00:00:00","2025-10-27 00:00:00",""
"2272","CENTRAL ONE REAL ESTATE BROKER L.L.C","2025-03-11 12:19:05","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1288853","2024-01-09 00:00:00","2025-01-08 00:00:00",""
"2273","IAH REALTY L.L.C","2025-03-11 13:31:40","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1435875","2024-12-05 00:00:00","2025-12-04 00:00:00",""
"2274","BARCO PROPERTIES DEVELOPMENT L.L.C","2025-03-12 11:51:05","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1465957","2025-02-25 00:00:00","2026-02-24 00:00:00",""
"2275","IMTIAZ COVE REAL ESTATE DEVELOPMENT L.L.C","2025-03-12 14:42:16","DUBAI ECONOMIC DEPARTMENT","","","","","","1479136","2025-03-12 00:00:00","2026-03-11 00:00:00",""
"2276","INFINITY HEIGHTS REAL ESTATE DEVELOPMENT L.L.C","2025-03-13 08:53:47","DUBAI ECONOMIC DEPARTMENT","","","","","","1471475","2025-03-11 00:00:00","2026-03-10 00:00:00",""
"2277","CONFIDENT REAL ESTATE DEVELOPMENT L.L.C","2025-03-13 14:15:47","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1414113","2024-09-20 00:00:00","2025-09-19 00:00:00",""
"2278","ACUBE NOVA REAL ESTATE DEVELOPMENT L.L.C","2025-03-13 14:56:17","DUBAI ECONOMIC DEPARTMENT","","","","","","1476996","2025-03-13 00:00:00","2026-03-12 00:00:00",""
"2279","DAR COMFORT REAL ESTATE L.L.C","2025-03-17 11:20:47","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1332921","2024-03-25 00:00:00","2026-03-24 00:00:00",""
"2280","MAAKDREAM PROPERTIES L.L.C","2025-03-17 11:31:19","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1387128","2024-07-17 00:00:00","2026-07-16 00:00:00",""
"2281","ARMADA REAL ESTATE DEVELOPMENT L.L.C","2025-03-17 13:17:55","DUBAI ECONOMIC DEPARTMENT","","","","","","1482306","2025-03-14 00:00:00","2026-03-13 00:00:00",""
"2282","JHK HEIGHTS REAL ESTATE DEVELOPMENT L.L.C","2025-03-18 10:05:22","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1460927","2025-02-24 00:00:00","2026-02-23 00:00:00",""
"2283","HEAVEN VIEW REAL ESTATE DEVELOPMENT L.L.C","2025-03-19 12:46:37","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","971|503628705","","1448151","2024-12-18 00:00:00","2025-12-17 00:00:00",""
"2284","ASCENDAS SKY REAL ESTATE L.L.C","2025-03-20 10:33:47","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1422289","2024-10-03 00:00:00","2025-10-02 00:00:00",""
"2285","AL MIZAN SERENE DEVELOPMENT L.L.C","2025-03-20 11:19:51","DUBAI ECONOMIC DEPARTMENT","","","","","","1483266","2025-03-19 00:00:00","2026-03-18 00:00:00",""
"2286","E P C I DEVELOPMENT L.L.C","2025-03-20 14:39:18","DUBAI ECONOMIC DEPARTMENT","","","","","","1483154","2025-03-18 00:00:00","2026-03-17 00:00:00",""
"2287","M A A K D R E A M O N E PROPERTIES L.L.C","2025-03-21 08:12:51","DUBAI ECONOMIC DEPARTMENT","","","","","","1477830","2025-03-20 00:00:00","2026-03-19 00:00:00",""
"2288","A M I S SIGNATURE DEVELOPMENT L.L.C","2025-03-21 08:15:29","DUBAI ECONOMIC DEPARTMENT","","","","","","1482283","2025-03-19 00:00:00","2026-03-18 00:00:00",""
"2289","AMBERTON RESIDENCES REAL ESTATE L.L.C","2025-03-24 10:20:47","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1363520","2024-05-23 00:00:00","2026-05-22 00:00:00",""
"2290","SAMIAH VISION REAL ESTATE DEVELOPMENT L.L.C","2025-03-24 13:13:52","DUBAI ECONOMIC DEPARTMENT","","","","","","1485168","2025-03-23 00:00:00","2026-03-22 00:00:00",""
"2291","HOLM GARDENS REAL ESTATE DEVELOPMENT (Br of LAVISH TOWN REAL ESTATE DEVELOPMENT L.L.C)","2025-03-24 13:15:15","DUBAI ECONOMIC DEPARTMENT","","","","","","1485333","2025-03-24 00:00:00","2026-03-23 00:00:00",""
"2292","BABYLONIA LION REAL ESTATE DEVELOPMENT L.L.C","2025-03-24 15:14:48","DUBAI ECONOMIC DEPARTMENT","","","","042687071","042687072","1475603","2025-03-21 00:00:00","2026-03-20 00:00:00",""
"2293","CASA ADUR REAL ESTATE L.L.C","2025-03-25 00:01:20","DUBAI ECONOMIC DEPARTMENT","","","","","","1484472","2025-03-24 00:00:00","2026-03-23 00:00:00",""
"2294","M S B REAL ESTATE DEVELOPMENT L.L.C","2025-03-25 11:45:46","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","043356335","043355226","1470852","2025-02-13 00:00:00","2026-02-12 00:00:00",""
"2295","CASA PRESTON REAL ESTATE L.L.C","2025-03-25 13:28:56","DUBAI ECONOMIC DEPARTMENT","","","","","","1484272","2025-03-24 00:00:00","2026-03-23 00:00:00",""
"2296","NUSUK REAL ESTATE DEVELOPMENT L.L.C","2025-03-28 00:50:24","DUBAI ECONOMIC DEPARTMENT","","","","","","1484900","2025-03-25 00:00:00","2026-03-24 00:00:00",""
"2297","ALISHAAN DEVELOPMENTS L.L.C","2025-04-02 07:48:54","DUBAI ECONOMIC DEPARTMENT","","","","","","1485170","2025-03-28 00:00:00","2026-03-27 00:00:00",""
"2298","CENTURION PROPERTIES L.L.C","2025-04-02 13:37:19","DUBAI ECONOMIC DEPARTMENT","","","","","","1487175","2025-03-27 00:00:00","2026-03-26 00:00:00",""
"2299","RARE BUILDERS REAL ESTATE DEVELOPMENT L.L.C","2025-04-03 07:02:39","DUBAI ECONOMIC DEPARTMENT","","","","","","1486280","2025-04-02 00:00:00","2026-04-01 00:00:00",""
"2300","ALAYELI REAL ESTATE DEVELOPMENT L.L.C","2025-04-04 11:50:38","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1443708","2024-12-11 00:00:00","2025-12-10 00:00:00",""
"2301","ART OF AMBER REAL ESTATE DEVELOPMENT L.L.C","2025-04-07 07:07:21","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1469961","2025-02-26 00:00:00","2026-02-25 00:00:00",""
"2302","ZENNOVA REALTY REAL ESTATE DEVELOPMENT L.L.C","2025-04-08 11:33:05","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1398121","2024-08-05 00:00:00","2026-08-04 00:00:00",""
"2303","CITY LIVING PROPERTIES","2025-04-08 16:17:04","DUBAI ECONOMIC DEPARTMENT","","","www.almasfoundation.com","97143558900","","616299","2008-09-11 00:00:00","2025-09-10 00:00:00",""
"2304","CONDOR ISLAND LIVING REAL ESTATE DEVELOPMENT L.L.C S.O.C","2025-04-08 20:15:57","DUBAI ECONOMIC DEPARTMENT","","","","","","1488612","2025-04-08 00:00:00","2026-04-07 00:00:00",""
"2305","DAR GLOBAL LUXURY PROPERTY DEVELOPMENT L.L.C S.O.C","2025-04-09 10:09:53","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","971|526004902","","997901","2021-11-02 00:00:00","2025-10-31 00:00:00",""
"2306","M H L REAL ESTATE DEVELOPMENT (Br of MILLENNIUM HOLDING LIMITED ) - DUBAI BRANCH","2025-04-10 07:02:55","DUBAI ECONOMIC DEPARTMENT","","","","","","1490036","2025-04-09 00:00:00","2026-04-08 00:00:00",""
"2307","SOMERSET REAL ESTATE DEVELOPMENT LLC","2025-04-10 07:06:54","DUBAI ECONOMIC DEPARTMENT","","","","","","1474335","2025-04-09 00:00:00","2026-04-08 00:00:00",""
"2308","PRYSM REAL ESTATE DEVELOPMENT L.L.C","2025-04-10 09:37:49","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1428746","2024-12-04 00:00:00","2025-12-03 00:00:00",""
"2309","LIVING MIRAGE L.L.C","2025-04-10 15:16:32","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1440263","2024-11-21 00:00:00","2025-11-20 00:00:00",""
"2310","RETHINK VIRERA REAL ESTATE DEVELOPMENT L.L.C","2025-04-11 07:56:17","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1488646","2025-04-08 00:00:00","2026-04-07 00:00:00",""
